Feature_1,Feature_2,Feature_3,Feature_4,Feature_5
0.8594587,0.63050044,0.5125727,1.6873183,2.6021588
0.7242007,0.48427677,0.35304376,1.3965222,2.1021783
0.44329855,0.19703628,0.09754691,0.8531758,1.3062116
0.7378496,0.49948618,0.39387605,1.3927547,2.1731865
0.1608774,0.04116012,-0.0041435435,0.33761972,0.5196251
0.043089427,-0.011830106,-0.013157614,0.11989521,0.19737388
0.12583792,0.031525627,0.018033557,0.30750734,0.47053865
0.8173149,0.62430143,0.530258,1.6604062,2.5325859
0.71127343,0.52396095,0.39268464,1.4545953,2.1680727
0.46110025,0.21144849,0.09772953,0.9044205,1.4186089
0.26296332,0.12088075,0.03966161,0.5449418,0.7967016
0.38414726,0.15616411,0.05216802,0.77911603,1.191483
0.28850102,0.113032505,0.041425563,0.5415574,0.8839368
0.39274848,0.16970302,0.05939614,0.8303242,1.2032933
0.60034466,0.34558856,0.22948919,1.197654,1.8316854
0.103325106,0.0153556615,-0.010810651,0.2582233,0.37404266
0.48189655,0.2113187,0.109029375,0.97267324,1.3553905
0.3346488,0.12765445,0.058465146,0.61569893,0.9346722
0.97631013,0.95991385,0.927092,1.9560399,2.934243
0.8986786,0.7390828,0.62725806,1.7444474,2.6218941
0.90638673,0.7743729,0.6984908,1.8220118,2.6580598
0.40603462,0.16155666,0.074501224,0.8300387,1.3048406
0.7872969,0.5223293,0.35156158,1.5793047,2.2768831
0.60946196,0.39784095,0.29116434,1.1826838,1.7512653
0.05360923,-0.01147376,-0.014599182,0.117929034,0.20975877
-0.33738852,-0.19773088,-0.07179553,-0.64835685,-0.93240416
1.144137,1.1679807,1.1308435,2.2826343,3.4992979
0.43381885,0.16912349,0.057495363,0.8587269,1.3122758
0.7421652,0.49552092,0.37910235,1.4750288,2.2249048
0.8577578,0.664204,0.5699555,1.6926326,2.691886
0.77709776,0.6273249,0.5565635,1.517511,2.3056076
0.9067047,0.81550115,0.743,1.7726269,2.7331169
1.2140188,1.1915442,1.1670164,2.3497376,3.5207036
0.673913,0.42138618,0.29660037,1.337983,1.9810344
0.17098632,0.04545404,0.039787255,0.3483835,0.49695483
0.72063255,0.4964943,0.36994293,1.4261358,2.1398861
1.1525917,1.190544,1.1925771,2.291838,3.4959073
0.21239796,0.049839184,-0.009140767,0.4323086,0.61533356
0.34902462,0.13539921,0.031933643,0.7045898,1.0803493
0.6997745,0.4936054,0.35766256,1.4081227,2.1209042
0.11252747,0.028325751,0.002289079,0.24334727,0.38503006
0.08467204,0.0025755316,-0.02336339,0.23330115,0.3681778
